text,type
"tuyển dụng",0
"nhân viên",0
"khách hàng",0
"Mô tả",0
"Tìm kiếm",0
"Khảo sát",0
"Kiểm soát",0
"hợp đồng",0
"Thanh toán",0
"Kiểm kê",0
"phiếu nhập",0
"Xuất kho",0
"báo cáo",0
"Hạch toán",0
"Phần mềm",0
"Tốt nghiệp",0
"kế toán",0
"Tin học văn phòng",0
"Năng động",0
"Kỷ luật",0
"Tư duy",0
"vấn đề",0
"tổ chức",0
"Thu nhập",0
"Thưởng",0
"Bảo hiểm",0
"Du lịch hàng năm",0
"Team building",0
"Hưng Yên",0
"Hà Nội",0
"Thái Bình",0
"Ứng tuyển",0
"Giới thiệu và tư vấn sản phẩm",0
"Kiểm tra",0
"Chăm chút",0
"xuất nhập",0
"Kiểm đếm",0
"Trưng bày",0
"Gập đồ",0
"Gắn tag",0
"sản phẩm",0
"Vệ sinh",0
"Duy trì",0
"đào tạo",0
"bán hàng",0
"Nhanh nhẹn",0
"Chủ động",0
"Yêu thích",0
"thời trang",0
"Vui vẻ",0
"Năng động",0
"Nhiệt tình",0
"Cởi mở",0
"Trung thực",0
"Siêng năng",0
"Cẩn thận",0
"Lương cứng",0
"doanh số",0
"Thu nhập trung bình",0
"Phụ cấp",0
"lao động",0
"Bảo hiểm xã hội",0
"Bảo hiểm sức khỏe",0
"Du lịch hàng năm",0
"Thưởng tháng 13",0
"Thưởng hiệu quả làm việc",0
"Team building",0
"Khám sức khỏe",0
"định kỳ",0
"Mtrẻ trung",0
"thăng tiến",0
"thiết bị điện",0
"máy tính",0
"điện thoại",0
"điện máy",0
"lợi thế",0
"quyền lợi",0
"tùy theo năng lực",0
"năng lực",0
"kinh nghiệm làm việc",0
"thực tế",0
"thử việc",0
"thỏa thuận",0
"quyền lợi",0
"luật lao động",0
"môi trường làm việc",0
"lành mạnh",0
"chuyên nghiệp",0
"nâng cao trình độ",0
"nâng cao",0
"trình độ",0
"trưởng nhóm bán hàng",0
"trưởng nhóm",0
"bán hàng",0
"công việc",0
"kết bạn",0
"kết bạn zalo",0
"kết bạn facebook',0
"gọi điện",0
"giới thiệu",0
"cung cấp",0
"tư vấn",0
"báo giá",0
"tiếp nhận",0
"điện thoại",0
"tư vấn",0
"hàng hóa",0
"tồn kho",0
"tình trạng",0
"mặt hàng",0
"không có",0
